rx_time_ms,sequence_number,tx_timestamp_ms,rssi,payload_size,scenario_id,packet_rate
15796,19224,961916,-86,100,run03,20
15846,19225,961966,-87,100,run03,20
15898,19226,962016,-86,100,run03,20
15948,19227,962066,-85,100,run03,20
15996,19228,962116,-87,100,run03,20
16047,19229,962166,-85,100,run03,20
16096,19230,962216,-87,100,run03,20
16146,19231,962266,-85,100,run03,20
16205,19232,962316,-87,100,run03,20
16248,19233,962366,-86,100,run03,20
16296,19234,962416,-86,100,run03,20
16346,19235,962466,-86,100,run03,20
16396,19236,962516,-86,100,run03,20
16446,19237,962566,-87,100,run03,20
16496,19238,962616,-87,100,run03,20
16550,19239,962666,-86,100,run03,20
16597,19240,962716,-87,100,run03,20
16646,19241,962766,-85,100,run03,20
16701,19242,962816,-85,100,run03,20
16746,19243,962866,-87,100,run03,20
16796,19244,962916,-86,100,run03,20
16846,19245,962966,-86,100,run03,20
16899,19246,963016,-86,100,run03,20
16946,19247,963066,-87,100,run03,20
16998,19248,963116,-86,100,run03,20
17046,19249,963166,-88,100,run03,20
17097,19250,963216,-86,100,run03,20
17147,19251,963266,-86,100,run03,20
17196,19252,963316,-86,100,run03,20
17246,19253,963366,-85,100,run03,20
17297,19254,963416,-86,100,run03,20
17346,19255,963466,-87,100,run03,20
17396,19256,963516,-87,100,run03,20
17446,19257,963566,-89,100,run03,20
17497,19258,963616,-90,100,run03,20
17546,19259,963666,-89,100,run03,20
17596,19260,963716,-87,100,run03,20
17649,19261,963766,-86,100,run03,20
17697,19262,963816,-87,100,run03,20
17746,19263,963866,-86,100,run03,20
17797,19264,963916,-87,100,run03,20
17856,19265,963966,-87,100,run03,20
17896,19266,964016,-87,100,run03,20
17946,19267,964066,-87,100,run03,20
18000,19268,964116,-86,100,run03,20
18046,19269,964166,-87,100,run03,20
18097,19270,964216,-87,100,run03,20
18146,19271,964266,-86,100,run03,20
18197,19272,964316,-84,100,run03,20
18247,19273,964366,-82,100,run03,20
18296,19274,964416,-90,100,run03,20
18346,19275,964466,-91,100,run03,20
18397,19276,964516,-89,100,run03,20
18446,19277,964566,-88,100,run03,20
18496,19278,964616,-89,100,run03,20
18546,19279,964666,-89,100,run03,20
18596,19280,964716,-91,100,run03,20
18647,19281,964766,-90,100,run03,20
18699,19282,964816,-94,100,run03,20
18747,19283,964866,-94,100,run03,20
18796,19284,964916,-95,100,run03,20
18846,19285,964966,-94,100,run03,20
18896,19286,965016,-94,100,run03,20
18950,19287,965066,-91,100,run03,20
18996,19288,965116,-90,100,run03,20
19048,19289,965166,-90,100,run03,20
19096,19290,965216,-89,100,run03,20
19148,19291,965266,-89,100,run03,20
19196,19292,965316,-87,100,run03,20
19247,19293,965366,-88,100,run03,20
19296,19294,965416,-88,100,run03,20
19346,19295,965466,-91,100,run03,20
19398,19296,965516,-95,100,run03,20
19447,19297,965566,-86,100,run03,20
19496,19298,965616,-86,100,run03,20
19549,19299,965666,-86,100,run03,20
19598,19300,965716,-88,100,run03,20
19660,19301,965766,-89,100,run03,20
19696,19302,965816,-91,100,run03,20
19747,19303,965866,-90,100,run03,20
19796,19304,965916,-90,100,run03,20
19846,19305,965966,-90,100,run03,20
19896,19306,966016,-89,100,run03,20
19952,19307,966066,-89,100,run03,20
19996,19308,966116,-91,100,run03,20
20046,19309,966166,-89,100,run03,20
20096,19310,966216,-90,100,run03,20
20146,19311,966266,-89,100,run03,20
20196,19312,966316,-88,100,run03,20
20249,19313,966366,-87,100,run03,20
20296,19314,966416,-88,100,run03,20
20346,19315,966466,-89,100,run03,20
20396,19316,966516,-87,100,run03,20
20447,19317,966566,-82,100,run03,20
20498,19318,966616,-86,100,run03,20
20546,19319,966666,-85,100,run03,20
20602,19320,966716,-86,100,run03,20
20657,19321,966766,-86,100,run03,20
20697,19322,966816,-87,100,run03,20
20747,19323,966866,-87,100,run03,20
20797,19324,966916,-88,100,run03,20
20850,19325,966966,-82,100,run03,20
20907,19326,967016,-83,100,run03,20
20946,19327,967066,-87,100,run03,20
20996,19328,967116,-88,100,run03,20
21048,19329,967166,-88,100,run03,20
