round,train_rmse,train_mae,test_rmse,test_mae
0,13.960350803094045,11.764113239929225,12.155274402306993,11.75519835639521
1,13.43877508935838,11.309609313312839,11.713995310209071,11.303386005710383
2,12.994292833062342,10.92092757751152,11.613787407940467,11.15933548541017
3,12.53630741987204,10.520763835664757,11.489309321782418,10.969085630986209
4,12.105899724391515,10.13592221188848,11.088400870983518,10.557862133113414
5,11.707523273490025,9.78473478595263,11.050567122131026,10.4436220285671
6,11.327150407501243,9.442828250961899,10.697999954054753,10.07505236134503
7,10.964178234729767,9.116943851712282,10.55539046852403,9.866503811761982
8,10.63874015624108,8.820532779544713,10.518003995987026,9.750637849009102
9,10.33777449118916,8.546803035533861,10.566414924672818,9.687131532391565
10,10.037270332309886,8.269452033920137,10.581447227137136,9.584484278830022
11,9.759683128990243,8.010523823415095,10.320186540612339,9.305543911750199
12,9.502998288343797,7.767889776888753,10.241530580987755,9.140828686008037
13,9.268767837678862,7.542917728479628,10.161369384434014,8.978656587379227
14,9.051582094425227,7.3267960208953715,10.184560457414939,8.886324946834742
15,8.84404443949427,7.123062778738681,10.015192763601974,8.689455171263283
16,8.64756435578044,6.92729738371697,10.093052531173049,8.630705233642963
17,8.46160793503629,6.742120031736592,10.18918822404301,8.587358536127487
18,8.304085262025005,6.573443301168755,10.34870620152153,8.59964166150067
19,8.148146960167521,6.403932652522895,10.236084066930038,8.447412214155406
20,7.999024334913032,6.2444655762732095,10.097637255188435,8.284711896070366
21,7.8658187316930706,6.098166308813574,10.218448877917686,8.272759203702375
22,7.737772260816438,5.9555377624091275,10.337984132787932,8.255602922595916
23,7.625752383905163,5.824264819091757,10.255416323739038,8.138869855573269
24,7.513942486037501,5.698725195402145,10.36639713292446,8.104474650054682
25,7.417650852074587,5.583236295610517,10.367532291805473,8.025301789325443
26,7.32108229837118,5.47028090044653,10.27696836967351,7.912169641810037
27,7.233217190601219,5.360339224789924,10.181288050259163,7.792859015569009
28,7.152089192858808,5.259144422822686,10.081802298652095,7.67696573060067
29,7.076979798185162,5.164784348679078,10.149768839487276,7.666352633977197
30,7.006570244854692,5.073394631639472,10.315255280172023,7.693486417007577
31,6.94628725417452,4.990023452558121,10.33525728603548,7.65243860403371
32,6.883889506468135,4.910271263367005,10.26062669525029,7.562749659591685
33,6.829470951574225,4.833327533703479,10.303265579886984,7.540532575278986
34,6.776679628141845,4.762195439962578,10.248898259025578,7.472002433460267
35,6.724740247368432,4.694476199958426,10.134829951265983,7.360664531344273
36,6.679869124971683,4.631859610078775,10.066250729238629,7.281105186281309
37,6.6295811417407124,4.569951812190136,10.165237485804104,7.308174147957661
38,6.583042171254648,4.5144029629615225,10.298518071032712,7.319603150293149
39,6.5455601172475655,4.461822776420542,10.341135168943392,7.312936588307547
40,6.5116233436876225,4.413703782067048,10.401243440858522,7.296041808574578
41,6.4788312248441216,4.366847161325586,10.289472197389331,7.199871244082034
42,6.444146809544915,4.323056651192307,10.25878137649066,7.156695068208246
43,6.413171548585342,4.281790325723022,10.27584267965606,7.142420931673441
44,6.382496081679396,4.240301812457605,10.418404746832913,7.18016857788211
45,6.352662144192958,4.201102672806018,10.444642261844567,7.175843697428052
46,6.327197287880671,4.162366865079303,10.479624673047393,7.197603868860039
47,6.305934162944102,4.128749435492138,10.571109046770912,7.228976076458647
48,6.286181992365366,4.099672352435719,10.564670021603884,7.205129709481541
49,6.259227865681989,4.066438491050283,10.664037986635524,7.246411816914225
50,6.238055914150069,4.0372984788918655,10.703998103821215,7.259265639987148
51,6.220128749483627,4.009131195945756,10.764551392847315,7.275791875773766
